"","token","pt0","pt1","pt2","pt3","pt4","pt5"
"1","Says",0.00837171181016314,0.00808036689233457,0.00776555573797406,0.00678883071553229,0.00600407718729928,0.00581101566447701
"2","the",0.0254817519696759,0.0285204991087344,0.0303828915783996,0.0309891877401483,0.0165359218917546,0.0295211760727287
"3","Annies",1.93528409970584e-05,3.61076006499368e-05,1.62914209377342e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"4","List",1.93528409970584e-05,3.61076006499368e-05,1.62914209377342e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"5","political",0.000116128283043335,0.000216684723726977,0.00016293809981588,0.00022539704556488,5.55216256731997e-05,0.000193262856811549
"6","group",0.000154843704635633,0.000162504739721575,0.000130346232179226,3.46698562934457e-05,0.000166583374979177,3.86465962010396e-05
"7","supports",0.000484045848822801,0.000216684723726977,0.000228128208052926,0.000156033287101248,0.00022212350066637,9.66220916750406e-05
"8","third-trimester",1.93528409970584e-05,5.41623788116774e-05,1.62914209377342e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"9","abortions",9.67716962142912e-05,0.000234746022860651,0.000130346232179226,3.46698562934457e-05,5.55216256731997e-05,5.79710144927536e-05
"10","on",0.00386602945176205,0.00402392604676455,0.00448379125824347,0.00438741577728642,0.00306287241744167,0.00421064886681155
"11","demand.",1.93528409970584e-05,5.41623788116774e-05,1.62914209377342e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"12","When",0.000484045848822801,0.000614184038440695,0.000570515746234596,0.000607069760987963,0.000333222259246918,0.000521981208676488
"13","did",0.000445304937076476,0.000578034682080925,0.000325929305933543,0.000520300386756621,0.000305445255879821,0.000463956388099519
"14","decline",3.87064310735229e-05,5.41623788116774e-05,6.51688688313593e-05,5.20056859549977e-05,2.77600421952641e-05,1.93229247178853e-05
"15","of",0.013732760481039,0.0142268607525405,0.0172685238892295,0.0177657810239582,0.00935836368730737,0.0175179898549015
"16","coal",5.80607702728856e-05,0.000126388011194367,3.25833727049087e-05,5.20056859549977e-05,2.77600421952641e-05,7.72961796363215e-05
"17","start?",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"18","It",0.000387199194625675,0.000252807974285817,0.000391140663961277,0.000346806776604415,0.00022212350066637,0.000386600429126476
"19","started",7.74158586386421e-05,0.000126388011194367,0.000211829884308294,0.000104016781374062,0.00013881562508676,9.66220916750406e-05
"20","when",0.000716554341931985,0.000740727358132644,0.000994749029712012,0.000989033870072182,0.000416562526035158,0.000812206300400302
"21","natural",7.74158586386421e-05,9.02738909852493e-05,9.775648858693e-05,8.66791484640455e-05,5.55216256731997e-05,7.72961796363215e-05
"22","gas",0.000212922457512291,0.000198624076849461,0.0003748370273794,0.000260082532857093,0.00013881562508676,0.000251256281407035
"23","took",0.000697174506652207,0.000415394896060973,0.00060313630880579,0.00053765305768497,0.00022212350066637,0.000347926935343578
"24","off",0.000329100201331888,0.000523815544677853,0.000358533922198139,0.000346806776604415,0.00013881562508676,0.00036726330846252
"25","that",0.00566346191273209,0.00676117775354417,0.00637767649276978,0.00566557422773865,0.00378956754346857,0.00516635267154816
"26","to",0.0164047286531993,0.0162364466949199,0.0153166713531932,0.0130830289407137,0.0113987309787186,0.012620333411599
"27","begin",5.80607702728856e-05,7.22178089116776e-05,8.14624132425299e-05,3.46698562934457e-05,2.77600421952641e-05,1.93229247178853e-05
"28","in",0.0127592019129003,0.0152306592621103,0.0170662601693371,0.0177298708630301,0.00865182696346073,0.0165186989314896
"29","(President",7.74158586386421e-05,3.61076006499368e-05,4.88758553274682e-05,1.7334627652198e-05,5.55216256731997e-05,3.86465962010396e-05
"30","George",0.00027100795601928,0.000379259901392426,0.000325929305933543,0.000312115274574743,0.00013881562508676,0.000270588917451052
"31","W.)",5.80607702728856e-05,3.61076006499368e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,3.86465962010396e-05
"32","Bushs",7.74158586386421e-05,7.22178089116776e-05,0.000114051094890511,6.93421166681113e-05,2.77600421952641e-05,1.93229247178853e-05
"33","administration.",3.87064310735229e-05,0.000108330625067707,8.14624132425299e-05,5.20056859549977e-05,5.55216256731997e-05,3.86465962010396e-05
"34","Hillary",0.000910393987525665,0.000650336006936917,0.000635758998435055,0.000450895721693287,0.000722262347908217,0.000289922300823379
"35","Clinton",0.00102673382409919,0.000867302688638335,0.000815221821857727,0.000572360205355904,0.000611077162379868,0.00036726330846252
"36","agrees",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,3.46698562934457e-05,2.77600421952641e-05,5.79710144927536e-05
"37","with",0.00240547828279889,0.0021348192640301,0.00256427008133799,0.00257207903929372,0.00194693219113311,0.00199419167473379
"38","John",0.000387199194625675,0.000433463372345037,0.000537897310513447,0.000364153429978498,0.000416562526035158,0.000502638853983413
"39","McCain",0.00023228354077544,0.000288933834151979,0.000228128208052926,0.000346806776604415,0.00013881562508676,0.000638051044083527
"40","""by",1.93528409970584e-05,1.80534743911466e-05,1.62914209377342e-05,3.46698562934457e-05,2.77600421952641e-05,1.93229247178853e-05
"41","voting",0.000212922457512291,0.000270870578037814,0.000211829884308294,0.00022539704556488,0.000194352666796235,0.000231924392647997
"42","give",0.000329100201331888,0.000361193382937225,0.000309627794798253,0.000312115274574743,8.32847505621721e-05,0.000115948750652212
"43","Bush",0.000425935606280614,0.000397327072421889,0.000472666818789321,0.000607069760987963,0.000111049416990561,0.00044461627682196
"44","benefit",5.80607702728856e-05,0.000144446049400549,3.25833727049087e-05,0.000156033287101248,5.55216256731997e-05,1.93229247178853e-05
"45","doubt",3.87064310735229e-05,1.80534743911466e-05,3.25833727049087e-05,5.20056859549977e-05,2.77600421952641e-05,1.93229247178853e-05
"46","Iran.""",1.93528409970584e-05,1.80534743911466e-05,1.62914209377342e-05,3.46698562934457e-05,2.77600421952641e-05,1.93229247178853e-05
"47","Health",0.000116128283043335,0.000216684723726977,0.00016293809981588,0.000104016781374062,2.77600421952641e-05,0.000173933209647495
"48","care",0.00137591566218364,0.00153687598314861,0.0011580114822547,0.000971665538840595,0.00141772996413977,0.000928343487090223
"49","reform",0.000251645373596593,0.000325062303608192,0.000325929305933543,0.000190713963729672,0.000194352666796235,0.00015460430959513
"50","legislation",0.00023228354077544,0.000234746022860651,0.000358533922198139,0.00020805520398079,0.00022212350066637,0.000289922300823379
"51","is",0.00523305579332348,0.0065233587120455,0.00550395596835225,0.005998779318162,0.004377282739008,0.00557649710488478
"52","likely",0.000154843704635633,0.000108330625067707,0.000130346232179226,0.000190713963729672,0.000111049416990561,0.000115948750652212
"53","mandate",0.000174202539485909,9.02738909852493e-05,8.14624132425299e-05,0.000138693850661396,8.32847505621721e-05,5.79710144927536e-05
"54","free",0.000193562123763622,0.000126388011194367,0.000211829884308294,8.66791484640455e-05,0.000194352666796235,7.72961796363215e-05
