"","Labels","Text","Text_Tag"
"1",1," says list group abortions demand ","abortion"
"2",2," did of start started gas off started begin president w administration ","energy,history,job-accomplishments"
"3",3," hillary with mccain to bush benefit the on ","foreign-policy"
"4",1," health reform is to free change ","health-care"
"5",2," the started the of ","economy,jobs"
"6",5," the have more in last years the number faculty the two ","education"
"7",0," has lived the he for now ","candidates-biography"
"8",2," im only on stage has just year along russ some the ethics since ","ethics"
"9",2," it million oregon funds the of to land new ","jobs"
"10",3," says primary glenn and cast compromise that million higher costs ","energy,message-machine-2014,voting-record"
"11",3," for first in the of national vote is than latino margin ","elections"
"12",2," since nearly million have of middle and poverty ","economy,jobs,new-hampshire-2012,poverty"
"13",1," mitt was of we just the of of government actually it ","history,state-budget"
"14",3," the billion to government ","economy,federal-budget,health-care"
"15",0," most the care has in sense or ","health-care"
"16",2," in last in 63 of american not vote 80 of people percent workers not vote ","elections"
"17",5," mccain a that government and said provisions ","federal-budget"
"18",0," us kind and fellow went a and card maxed ","federal-budget"
"19",2," water in were up percent a of world became ","financial-regulation,foreign-policy,water"
"20",3," almost people last ","bankruptcy,economy,population"
"21",1," women men are less you for than john was elected ","economy,income"
"22",3," the states the corporate rate the world ","corporations,taxes"
"23",3," we had best for industry in ","economy"
"24",2," says walker cutting to families off care ","health-care,message-machine"
"25",0," says romney to of ","abortion,federal-budget,health-care"
"26",1," i know is ","health-care"
"27",3," hate against muslims have paris ","crime,diversity,homeland-security,terrorism"
"28",2," rick has lost election remains only to won texas three in ","candidates-biography"
"29",1," isis at am began am ","technology,terrorism"
"30",3," youth in is 40 45 ","diversity,economy,jobs"
"31",5," says ryan still trump ","candidates-biography,elections,campaign-advertising"
"32",0," if at that right work not budget and have good ","economy,labor,states,unions,workers"
"33",1," what obama is to with the several is not going be to very in ","climate-change,energy,environment,government-regulation"
"34",3," we business today percent our dont a tax ","small-business,taxes"
"35",3," says with percent the ","bipartisanship,voting-record"
"36",5," we a government they the to our seats ","consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers"
"37",5," austin a that in every years since was ","city-government,population"
"38",5," the conducted our this is nuclear the members the security have percent the nuclear ","military"
"39",4," in of event offices the for control prevention ","health-care,pop-culture"
"40",5," under w we trillion the under obama trillion the ","debt"
"41",1," says us court that us will decided on african ","legal-issues,supreme-court"
"42",2," says rubio 18 to the to isis ","military,voting-record"
"43",4," rep cicilline responsible the loan to the solar ","energy,stimulus"
"44",4," says budget into by john requires abortion a ","abortion,pundits,women"
"45",1," we a of security and not the terrorist but disaster ","homeland-security,terrorism"
"46",2," africanamerican unemployment 51 hispanic unemployment 36 ","diversity,economy,jobs"
"47",4," obamacare to residents if are ","health-care,immigration"
"48",1," president obama exactly of own reduction ideas ","deficit,federal-budget"
